,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
23,SOL,USDT,Binance,,,,212.61996459960938,212.25006103515625,12,2021-12-03 23:33:07.294,2021-12-03 23:33:09.470,212.56000000,7.05000000,212.60000000,5.00000000,0.0,0.0,0.0,0.0
24,SOL,USDT,FTX,,,,212.312311,212.04269799999997,13,2021-12-03 23:33:20.450,2021-12-03 23:33:22.400,212.6875,10.0,212.69,9.72,0.0,0.0,0.0,0.0
25,SOL,USDT,Kucoin,,,,213.00079345703125,212.53724670410156,13,2021-12-03 23:33:20.450,2021-12-03 23:33:22.400,212.704,8.8888,212.767,2.2609,0.0,0.0,0.0,0.0
26,SOL,USDT,Binance,,,,212.03948974609375,211.6905059814453,14,2021-12-03 23:33:59.104,2021-12-03 23:34:00.743,211.86000000,18.44000000,211.87000000,2.50000000,0.0,0.0,0.0,0.0
27,SOL,USDT,FTX,,,,212.89265899999998,212.43246399999998,14,2021-12-03 23:33:59.104,2021-12-03 23:34:00.743,211.64,8.32,211.8575,20.81,0.0,0.0,0.0,0.0
28,SOL,USDT,Binance,,,,212.34974670410156,211.96029663085938,15,2021-12-03 23:45:15.768,2021-12-03 23:45:18.149,212.10000000,0.19000000,212.11000000,0.59000000,0.0,0.0,0.0,0.0
29,SOL,USDT,Kucoin,,,,212.83262634277344,212.38241577148438,15,2021-12-03 23:45:15.768,2021-12-03 23:45:18.149,212.126,0.0136,212.155,3.9147,0.0,0.0,0.0,0.0
30,SOL,USDT,Binance,,,,212.10955810546875,211.740478515625,16,2021-12-03 23:45:29.179,2021-12-03 23:45:32.002,211.95000000,2.00000000,211.96000000,12.09000000,0.0,0.0,0.0,0.0
31,SOL,BTC,FTX,BTC,USDT,FTX,212.90037845554596,212.1850885503784,16,2021-12-03 23:45:29.179,2021-12-03 23:45:32.002,0.00394775,33.0,0.00395225,28.31,53655.0,0.0177,53670.0,0.0033
32,SOL,USDT,FTX,,,,212.2747885,211.91527449999998,17,2021-12-03 23:46:20.855,2021-12-03 23:46:23.996,212.435,8.85,212.55,10.87,0.0,0.0,0.0,0.0
33,SOL,USDT,Binance,,,,212.81011962890625,212.45989990234375,17,2021-12-03 23:46:20.855,2021-12-03 23:46:23.996,212.54000000,7.18000000,212.57000000,0.73000000,0.0,0.0,0.0,0.0
34,SOL,USDT,FTX,,,,210.7388675,210.44365799999997,18,2021-12-03 23:57:27.920,2021-12-03 23:57:30.181,211.1,3.8,211.3425,12.74,0.0,0.0,0.0,0.0
35,SOL,USDT,Binance,,,,211.34893798828125,210.9611053466797,18,2021-12-03 23:57:27.920,2021-12-03 23:57:30.181,211.22000000,11.65000000,211.23000000,4.00000000,0.0,0.0,0.0,0.0
36,SOL,USDT,FTX,,,,211.6444105,211.3406195,19,2021-12-03 23:59:54.804,2021-12-03 23:59:56.897,211.8325,3.8,211.9325,8.32,0.0,0.0,0.0,0.0
